date,satFinal,snd,tempD,rh,sw,lwin,ws,Pa,tempS,sdn,emi,z,albedo
2003-01-26,-8.565439463,0.0,-23.96315,23.79302502,204.1067708,134.066795,4.402049653,57084.98459,-8.323911786,0,0.92,0.001,0.17
2003-01-27,-10.13411927,0.0,-24.49739625,25.89975071,205.1015625,140.0446333,3.09944126,57180.7991,-7.952920914,0,0.92,0.001,0.17
2003-01-28,-6.265142769,0.0,-19.5837484,30.97719145,200.2526042,182.1517688,2.938502759,57008.44269,-4.603563428,0,0.92,0.001,0.17
2003-01-29,-7.538782358,0.0,-14.79756668,51.44158173,183.203125,172.7445142,3.751317203,56623.81744,-6.727819681,0,0.92,0.001,0.17
2003-01-30,-9.61171937,0.0,-19.84755985,38.56938887,205.9583333,149.6417068,3.044149607,56713.6467,-7.662420392,0,0.92,0.001,0.17
2003-01-31,-8.165079355,0.0,-13.58499938,61.84616852,195.9427083,171.9193192,2.461080834,56799.29962,-6.687742472,0,0.92,0.001,0.17
2003-02-01,-5.096163094,0.0,-12.13938035,55.62429714,190.9596354,171.2447246,3.755832642,57061.93237,-3.973959059,0,0.92,0.001,0.17
2003-02-02,-6.036924541,0.0,-20.7403041,28.82309866,213.8841146,140.2461858,3.219809085,57270.92743,-5.049245954,0,0.92,0.001,0.17
2003-02-03,-7.989572763,0.0,-24.21736338,22.48160696,213.6080729,140.1814217,3.599173814,57203.60565,-5.435472608,0,0.92,0.001,0.17
2003-02-04,-9.612478495,0.0,-23.884946,26.07759809,217.15625,137.4688292,2.706380561,57297.59445,-6.632009625,0,0.92,0.001,0.17
2003-02-05,-9.364118814,0.0,-20.67076075,34.54261446,213.0195313,138.7920792,1.877309978,57219.46716,-5.385454297,0,0.92,0.001,0.17
2003-02-06,-10.39874482,0.0,-22.8985009,31.81000042,221.4869792,132.1143494,3.554427654,57187.67776,-7.54533577,0,0.92,0.001,0.17
2003-02-07,-8.461004496,0.0,-21.50422025,30.11815596,212.1614583,158.39047,2.287733108,56795.42236,-4.672098279,0,0.92,0.001,0.17
2003-02-08,-6.306875587,0.0,-21.56737525,24.33933687,224.0091146,137.4989467,5.109596908,56534.42688,-6.069433331,0,0.92,0.001,0.17
2003-02-09,-8.018415689,0.0,-24.66782925,20.56952429,223.0651042,149.6693829,4.490393609,56698.46191,-6.179002881,0,0.92,0.001,0.17
2003-02-10,-9.862638712,0.0,-22.117271,31.76874113,223.1940104,139.1063498,2.669099182,56908.19397,-6.802225113,0,0.92,0.001,0.17
2003-02-11,-10.03082871,0.0,-22.42877675,31.38089657,228.2903646,149.7686133,1.314182192,56893.07785,-5.456621289,0,0.92,0.001,0.17
2003-02-12,-10.40014088,0.0,-16.815919,55.5725069,205.0455729,179.1745929,1.819808848,56619.96384,-5.083105206,0,0.92,0.001,0.17
2003-02-13,-11.27197456,0.0,-20.05713878,44.07721329,231.3333333,134.3443356,3.245663881,56606.34232,-8.456266522,0,0.92,0.001,0.17
2003-02-14,-11.83429527,0.0,-17.40705388,59.17137527,199.7955729,152.8810254,4.264500685,56523.7381,-8.40676713,0,0.92,0.001,0.17
2003-02-15,-8.8667624,0.0,-19.00738008,40.70552731,236.03125,137.6393927,4.101783872,56996.88263,-8.228792429,0,0.92,0.001,0.17
2003-02-16,-6.753050148,0.0,-19.9783917,31.42873716,237.0169271,146.0277492,2.786348,57208.52509,-4.398851484,0,0.92,0.001,0.17
