satFinal,snd,tempD,rh,sw,lwin,ws,Pa,tempS,sdn,emi,z,albedo,date
-10.10423176,0.0,-11.82630714,0.871876134,175.1188963,241.0887409,3.83771771,100198.9088,,0,0.92,0.001,0.17,2000/4/22
-8.869782763,0.0,-10.62010495,0.871027388,204.44233,224.1520814,6.41529963,100502.688,,0,0.92,0.001,0.17,2000/4/23
-3.809737809,0.0,-6.262510758,0.830472206,193.3716969,240.1791063,7.264360401,100463.2125,,0,0.92,0.001,0.17,2000/4/24
-4.437398232,0.0,-6.795164711,0.835957473,198.2813977,243.7689127,6.543644018,99912.4833,,0,0.92,0.001,0.17,2000/4/25
-12.85761895,0.0,-14.95759547,0.84256519,197.4909435,221.5757309,9.330249384,99433.95645,,0,0.92,0.001,0.17,2000/4/26
-16.9561654,0.0,-19.0030112,0.840882407,193.8042099,211.5239092,7.240790605,99762.39916,,0,0.92,0.001,0.17,2000/4/27
-17.90229107,0.0,-19.98887088,0.836880304,215.5039743,208.0419025,4.877253648,100093.4888,,0,0.92,0.001,0.17,2000/4/28
-16.95969803,0.0,-19.09702348,0.83456692,202.1359309,223.4170792,3.04137686,100188.9873,,0,0.92,0.001,0.17,2000/4/29
-16.55202773,0.0,-18.6055147,0.840978197,176.5578029,231.1654557,2.477935517,100059.868,,0,0.92,0.001,0.17,2000/4/30
-16.29188359,0.0,-18.52215058,0.829337592,183.1532079,225.2363492,4.123002482,100330.0965,,0,0.92,0.001,0.17,2000/5/1
-14.30957318,0.0,-16.45525244,0.83782762,191.6057487,233.7120725,4.560311472,99890.99264,,0,0.92,0.001,0.17,2000/5/2
-14.47357653,0.0,-16.65607969,0.835539132,166.1800267,238.0864793,3.508056803,99497.99025,,0,0.92,0.001,0.17,2000/5/3
-15.78366716,0.0,-18.01004844,0.83072369,205.5086877,219.1306797,2.429623711,99662.34307,,0,0.92,0.001,0.17,2000/5/4
-11.83787183,0.0,-14.29033383,0.820591214,221.1185484,228.6498914,3.97245123,98967.57728,,0,0.92,0.001,0.17,2000/5/5
-9.739683945,0.0,-11.51076284,0.869628542,169.4711126,249.7618613,4.198155136,99002.63547,,0,0.92,0.001,0.17,2000/5/6
-4.14256791,0.0,-5.803885373,0.88239571,193.4496198,259.053869,3.462674484,99140.20383,,0,0.92,0.001,0.17,2000/5/7
-7.093266711,0.0,-8.41157956,0.902801725,193.3534635,256.8517531,3.058690922,99441.17844,,0,0.92,0.001,0.17,2000/5/8
-5.243885,0.0,-6.653896483,0.89811547,223.2123106,244.3486215,5.509071926,99842.52467,,0,0.92,0.001,0.17,2000/5/9
-5.97539264,0.0,-7.469862691,0.891514143,209.8880378,254.7438695,4.15356375,100036.1511,,0,0.92,0.001,0.17,2000/5/10
-4.887203621,0.0,-6.694992563,0.871595516,159.5571661,276.726272,4.981861922,99774.5293,,0,0.92,0.001,0.17,2000/5/11
-9.497634207,0.0,-11.3582804,0.863711422,221.8148399,241.2642824,5.326108895,100320.7535,,0,0.92,0.001,0.17,2000/5/12
-6.046100088,0.0,-7.988118997,0.861842664,254.7880962,230.2381567,3.864481733,100550.0341,,0,0.92,0.001,0.17,2000/5/13
-3.455295262,0.0,-4.903752998,0.897814548,199.1347993,266.1664485,3.511460896,100511.5052,,0,0.92,0.001,0.17,2000/5/14
-3.928496721,0.0,-5.509664221,0.888534092,207.9890992,273.9238078,3.755121663,101167.0058,,0,0.92,0.001,0.17,2000/5/15
-6.173843527,0.0,-8.029111822,0.867832075,210.09826,266.1636568,3.000033246,102210.0222,,0,0.92,0.001,0.17,2000/5/16
