date,QE,QH,RTS0,Lstar,RA
2000-05-10,39.5580488911070,92.3648666857389,0.0766743465042623,10.0062846634004,85.7642777723115
2000-05-11,36.1055894235138,80.7557738073865,-0.6831957196778831,21.3584306696482,67.6856966232665
2000-05-12,34.8324705780082,110.133105349375,-4.003412122064731,18.0891777267620,66.3582860589630
2000-05-13,43.8715144654664,96.9945442054091,0.6554334128696269,7.86226454996224,90.9235955950876
2000-05-14,42.3625849645325,82.3226198293905,2.4096563708675376,7.74306004377287,92.8188816493319
2000-05-15,46.1139162930304,94.0317568832565,2.267623375034532,8.39172274726268,86.5609770952802
2000-05-16,43.9145707795465,93.4993935247526,1.4980016398118892,4.26778171201460,109.814519024661
2000-05-17,45.7379425753194,102.723620454369,1.2341863721460982,3.58437345617542,101.230205382441
2000-05-18,44.1326975612374,115.853057572842,-0.03263382675595494,19.4130934418041,51.9189019478805
2000-05-19,51.4468824817845,98.2887236432693,3.8704944395695406,8.33566714352540,88.8173524849190
2000-05-20,55.6932318254010,86.2005342075277,6.938220060846277,2.53274781835642,132.752026819479
2000-05-21,53.1599462209442,111.706960534608,3.841370353897503,4.84857797546344,64.6871676638476
2000-05-22,61.1406002545035,93.1161159026547,7.3511500717946205,3.89678327034450,103.635832186968
2000-05-23,61.3125727947661,95.0998374816199,7.509653084040394,6.23141942042445,82.5984370714642
2000-05-24,59.2001389651657,80.5694429487676,8.554067028878762,9.70546694888560,83.6184479302324
2000-05-25,61.8756194611607,58.6328639477142,8.98989971772528,30.5510576171533,65.6609303409487
2000-05-26,66.9977454582733,81.1561245219045,7.682447039510464,25.4848892784400,64.9934999846287
2000-05-27,60.6222549951660,99.7091146394123,4.941030828112275,26.8507682528241,59.9693573667946
2000-05-28,59.9619473821439,104.894987375108,3.6073616406322913,31.8529221435370,55.8180568357601
2000-05-29,66.4715202646201,91.9792930913809,5.88168844246718,32.4888525760992,57.7405334299926
2000-05-30,60.1267363241201,67.8903412328737,8.297432869011118,15.3233195552663,81.7399786783303
2000-05-31,68.1463606064999,84.6671414911052,6.622253245571528,30.3016270143592,59.9159329142756
2000-06-01,69.8520327039022,84.7066573602342,8.33855810195638,13.5613796488538,79.1947126667110
2000-06-02,76.8303112406973,77.8694209196747,11.942157300405881,4.01466038529401,119.976228980464
2000-06-03,57.7925319445690,78.7591107217331,7.134472701612026,12.4897677146513,70.6701664400548
2000-06-04,69.3504764462997,62.2068539875736,11.11316895497805,8.51396408057863,100.059312356032
2000-06-05,75.1888200937441,83.1542493380102,10.162773499801688,12.6932413972219,78.2138285212323
2000-06-06,68.6825480049172,95.3796610117970,7.040011306764143,21.8830423242716,63.9140598979618
2000-06-07,74.9007275258486,59.9411514122357,13.182924602351761,15.7102953395966,82.9943335518511
2000-06-08,73.0046203471411,70.0162622574944,12.026375426739435,36.6002594120414,59.2781288613346
2000-06-09,72.1499820061128,90.0434685723949,8.294123496833834,11.3612489874533,82.1674643817199
2000-06-10,34.0375988516838,60.5230987961831,2.829287424541974,49.8628219172797,56.3102528624095
2000-06-11,38.8958929980749,60.8157826739916,3.463259767490001,23.2348052216748,74.2817165934695
2000-06-12,56.4879160099452,66.7631243977339,6.174730752371715,37.3309067060678,60.7779419642154
2000-06-13,78.9833841403654,68.1157723317956,9.431473289295695,13.7995669569236,83.7562294834344
2000-06-14,43.7791488788664,57.8927400639977,6.52635284400418,25.0218408314584,71.9298147563004
2000-06-15,69.0738619236303,79.8989332969227,8.261723211692527,11.1108974213175,85.6475924191105
2000-06-16,76.3045250157478,76.1571979640657,8.421359773806273,13.2508056721091,80.4300095310831
2000-06-17,37.3274038933792,34.4977116316177,10.844207934730946,31.4511154092568,78.6841393123886
2000-06-18,35.0071731011091,41.5559693654054,7.428618071580672,18.4560530433441,90.2058358140964
2000-06-19,35.9512919522096,44.8912743258907,7.235837875900756,73.7500783006473,54.8679324002178
2000-06-20,36.0432907117901,48.8871950239181,4.534355249472469,54.2268475737142,60.0993021824918
2000-06-21,63.3311028870822,66.4517143066091,8.511722003260616,7.87023716036745,102.804144747618
2000-06-22,72.6317683649428,75.8230181189506,9.726216898995915,6.70725378013947,98.6767973659984
2000-06-23,44.3079957556878,56.7758817128515,6.53334778899233,46.9014972156332,55.8947321364640
2000-06-24,67.1876586290299,65.9417357253169,7.918777607937329,18.4077422901061,77.2194820857273
2000-06-25,78.7302020601293,63.2369917449269,10.617788782002265,19.6343866931491,75.5428846558843
2000-06-26,55.1201040200795,40.9451639802428,9.086324190132132,58.5345340728971,60.4878568279233
2000-06-27,95.3611198089826,72.5977709802310,11.649164689562099,17.3078163534565,75.8758982748807
2000-06-28,81.2817487974961,64.4480541740204,11.741785932863252,9.06069484359222,97.0937496742491
2000-06-29,26.0787442761094,39.4713632192115,3.6862438289780357,109.564106469601,49.1826116213333
2000-06-30,85.8658002500603,69.2418195240439,12.631230773152481,8.95567826430035,96.6761845149341
2000-07-01,89.1843602652165,73.2191582093719,13.615815641487359,10.3446985776384,86.8504365241994
2000-07-02,72.4207963671385,55.1110414114692,14.51815541350868,13.6647391255869,87.4235188547362
2000-07-03,60.5293494112465,48.1399343198495,13.758094000491155,8.26485512865966,109.507344646945
2000-07-04,45.2239871817451,50.1967396983209,7.568632928170928,18.0335935836013,82.0901733776143
2000-07-05,32.7593933679832,40.8199895820903,5.608288105085705,16.3079870280546,94.3459474971144
2000-07-06,52.8283516442871,51.6653232518611,9.458321374436025,7.41313764796744,112.737839272356
2000-07-07,70.1699512867487,58.6768934251741,10.949843999768973,14.2790765270957,82.9999098288824
2000-07-08,45.0481332509349,42.5740465416366,9.553315050337744,60.3563901147957,59.2790373776976
2000-07-09,52.5884678170202,63.4984475901692,7.876983375542068,36.4450478329813,62.9177757203309
2000-07-10,54.8168600954709,70.2013696383310,6.4699443716481255,40.1314544007641,58.9489919918747
2000-07-11,27.8003789869201,36.0065587030977,5.258679168567767,53.7224698775187,66.7172497550135
2000-07-12,43.3587279020994,45.2050352468723,8.6513358537415,14.4117524419917,95.5235231111857
2000-07-13,37.2572062565594,34.2715221285093,7.833830100946955,17.8685341410562,95.7355963206692
2000-07-14,75.7126198912816,56.7426372650207,15.425527473934608,3.19722053364888,143.696441900333
2000-07-15,68.5243019114822,64.9673658038173,12.059756884923786,19.2413221782028,58.3874982348995
2000-07-16,68.2008355171759,55.9123928435088,13.970835926947757,6.74193486721145,113.018318510605
2000-07-17,63.1908301325512,38.4346875780589,15.706451357458945,5.91031862450165,125.425728025363
2000-07-18,86.6503025847536,47.0873144871093,16.499331064323542,16.7616462422983,80.8614787858075
2000-07-19,51.8115887386556,45.7305659538542,11.751351541789631,18.7678201948140,85.6833613716327
2000-07-20,35.9319687248882,39.3557097663142,6.15323752447614,84.8102841313051,55.0179569437066
2000-07-21,56.1590883738455,55.4170177193164,7.1529693829442635,36.4484346302546,65.8904112282999
2000-07-22,67.0395447531374,47.6463024622908,10.738749791950852,30.4911803287596,72.6441657104228
2000-07-23,46.7105530472273,33.8101105760147,11.686630661106676,21.4239091478746,91.3129821923234
2000-07-24,57.2419234673522,35.2196282733635,15.43870015983532,5.98664843563184,136.342577277490
2000-07-25,76.3289266653434,30.0626613641853,18.40953214665791,8.35980460885928,117.289908192509
2000-07-26,95.4963522572106,42.4204336523235,18.80542247724412,13.1922574131406,93.7052005542028
2000-07-27,97.7730496361156,51.8498157458789,16.955757240276796,35.5473099128487,64.9477152295174
2000-07-28,82.7413775735582,58.2801611686891,14.641877009415737,31.4685182324881,66.8135986592599
2000-07-29,90.9329448541655,53.4495899999929,13.136763565180217,59.4498880783904,55.2979468122464
2000-07-30,79.8844254170340,63.5151457363199,10.415059379330557,50.2728839658903,55.9579631085866
2000-07-31,62.5366846759259,60.9531057455388,9.945894781486572,27.6622457372705,69.6083515618101
2000-08-01,58.1479070219482,56.2583835834153,10.35652914750517,8.58566340269818,105.370094296024
2000-08-02,56.4062822246052,51.6772975912163,9.756115737530763,11.8847292556563,93.6705846387894
2000-08-03,61.6184167353640,51.8449315442208,10.913522438894404,9.13871999108547,103.679336854901
2000-08-04,64.8232127032299,47.6294284304777,13.653875637243516,4.66015708026596,131.048543310321
2000-08-05,81.1984104445588,41.7054903286598,15.565586691788383,10.1804812288433,95.1822232353567
2000-08-06,59.4673042327258,40.5073443577712,11.734028673532066,20.0632547390901,85.4060078056044
2000-08-07,58.6987906242779,28.9172989078179,13.872947908370463,21.8844872681283,93.3896329047849
2000-08-08,20.8622373547047,21.0666941965410,10.890004785657368,36.8019383185820,89.1414400333030
2000-08-09,37.3258690517660,36.3465902356393,5.817364056926124,44.3559366826268,70.5139250423802
2000-08-10,49.0696649037260,42.8960002517506,10.100537922458443,3.24875021331349,159.609295580618
2000-08-11,62.5781142553126,45.7096370320905,10.307764562206216,10.1217968866576,81.7679704671547
2000-08-12,33.8647833851384,27.6727695243771,8.501159170145911,14.1208874444303,109.679651958535
2000-08-13,44.4600320216473,38.3237167321836,7.8285649824423444,11.4765690191470,107.122067823469
2000-08-14,49.0223050351696,37.6848966006646,6.955916480975077,57.6259845190819,62.2166561585260
2000-08-15,18.7706843808092,23.3259835823201,3.504973943711377,148.147511998640,55.0900119880065
2000-08-16,14.6891214724868,21.2907460567949,3.3322008548631175,135.792169276032,58.5766730722650
2000-08-17,19.8431685068341,25.9880395555847,4.877027676870171,47.1433083770184,77.9110527585305
2000-08-18,25.4045234752917,26.7378201128809,6.0751107975698915,25.0864663992209,94.9447502365707
2000-08-19,33.6923070663382,32.0665577462237,7.984726121217648,4.93201924678113,152.797753603467
2000-08-20,37.5347156935228,34.3775750204522,6.11148741832784,20.5452893846548,83.0460184289987
2000-08-21,44.9015216964656,39.1495204030352,8.04667710909223,16.5907596003756,94.8515123845663
2000-08-22,48.2568427875143,36.1624319289344,8.558832072241614,20.4850464695181,90.0374807350603
2000-08-23,52.6111411654526,33.3899356081793,9.100656857932677,36.5927764151495,76.0866393486574
2000-08-24,55.3083308843882,29.0424491999056,9.240578651365581,61.1111207514639,67.1036966976889
2000-08-25,61.9321451034624,22.1066069915905,10.358467198834035,105.256252830466,60.2657590273645
2000-08-26,54.9880950965451,21.9423613135350,10.689070969484078,92.5691158783815,63.3697353546858
2000-08-27,47.5580580559643,30.1690011389605,12.410380519271143,8.16926601631078,130.555052183636
2000-08-28,39.1941964560057,18.0507540637909,10.739276517404278,101.516459073916,62.9694103364313
2000-08-29,34.8239979740073,23.4604722174518,12.18321673433968,27.0999030633424,95.0291437432776
2000-08-30,26.3619735382461,20.4262958369095,7.645415140197144,24.4914938924783,103.000892835507
2000-08-31,23.2239387498913,26.4333613319850,5.1036963776263065,61.4822516422322,70.0382670792615
2000-09-01,21.2432500028080,21.8047335060810,3.287479759070834,72.5638180070295,70.9008605862440
2000-09-02,21.8696449784220,21.7847220434228,3.407863151524168,20.1144578832211,108.878288034287
2000-09-03,30.6359978069645,28.0991448489208,7.750900187504101,5.22445457200581,155.107694024929
2000-09-04,27.7188344914256,28.3571482440202,5.826977354752785,24.5450260263071,84.2782065599002
2000-09-05,27.2913799875900,28.1883084294068,4.701680292326387,31.0396261861160,86.1495440344454
2000-09-06,33.2579482585056,23.1239691981891,4.748066149417923,72.4122922193528,68.6977689920639
